wealth_rank,block,dummy,difference,SE,CI,CI_upper,CI_lower,sig_diff,group
8.791760864104496e-4,21,1,0.06326457165126408,0.017491802447283614,0.03428393279667588,0.09754850444793996,0.028980638854588195,TRUE,1
0.010967499663807124,21,1,0.06264022659986823,0.017049554089887255,0.03341712601617902,0.09605735261604725,0.02922310058368921,TRUE,1
0.0210558232412038,21,1,0.062015826087004414,0.01661856115421426,0.03257237986225995,0.09458820594926437,0.029443446224744464,TRUE,1
0.031144146818600477,21,1,0.06139131465120475,0.016199868146224636,0.03175174156660029,0.09314305621780504,0.029639573084604465,TRUE,1
0.04123247039599715,21,1,0.060766636831001274,0.015794361660769765,0.03095694885510874,0.09172358568611001,0.029809687975892535,TRUE,1
0.05132079397339383,21,1,0.060141737164926046,0.015402752828498298,0.030189395543856665,0.09033113270878271,0.02995234162106938,TRUE,1
0.0614091175507905,21,1,0.05951656019151116,0.015025563343476279,0.029450104153213506,0.08896666434472467,0.03006645603829765,TRUE,1
0.07149744112818718,21,1,0.05889105044928867,0.014663116338099145,0.028739708022674323,0.087630758471963,0.030151342426614346,TRUE,1
0.08158576470558385,21,1,0.05826515247679059,0.014315533464551234,0.02805844559052042,0.086323598067311,0.030206706886270168,TRUE,1
0.09167408828298051,21,1,0.05763881081254907,0.013982739577306159,0.027406169571520072,0.08504498038406914,0.030232641241028996,TRUE,1
0.1017624118603772,21,1,0.057011969995096105,0.013664476384447254,0.026782373713516616,0.08379434370861272,0.03022959628157949,TRUE,1
0.11185073543777388,21,1,0.056384574562963814,0.013360326351681273,0.026186239649295295,0.0825708142122591,0.03019833491366852,TRUE,1
0.12193905901517055,21,1,0.0557565690546842,0.013069748016491828,0.025616706112323983,0.08137327516700818,0.030139862942360218,TRUE,1
0.13202738259256722,21,1,0.05512789800878937,0.012792123723498517,0.02507256249805709,0.08020046050684645,0.030055335510732275,TRUE,1
0.1421157061699639,21,1,0.054498505963811394,0.012526820650884658,0.024552568475733928,0.07905107443954532,0.029945937488077466,TRUE,1
0.15220402974736058,21,1,0.053868338268966934,0.012273266564355944,0.024055602466137648,0.07792394073510459,0.029812735802829286,TRUE,1
0.16229235332475725,21,1,0.05323752810504869,0.012031188639164126,0.023581129732761687,0.07681865783781038,0.029656398372287004,TRUE,1
0.17238067690215392,21,1,0.052606635856256814,0.011800814437272385,0.023129596297053873,0.07573623215331068,0.02947703955920294,TRUE,1
0.18246900047955059,21,1,0.05197628099098983,0.011582457765210946,0.022701617219813452,0.07467789821080328,0.02927466377117638,TRUE,1
0.19255732405694728,21,1,0.051347082977646265,0.011376366305992846,0.02229767795974598,0.07364476093739225,0.029049405017900286,TRUE,1
0.20264564763434395,21,1,0.050719661284624726,0.011182636553211072,0.021917967644293702,0.07263762892891842,0.028801693640331024,TRUE,1
0.21273397121174062,21,1,0.05009463538032368,0.011001149914720716,0.021562253832852603,0.07165688921317628,0.028532381547471078,TRUE,1
0.22282229478913732,21,1,0.0494726247331417,0.010831534355952712,0.021229807337667314,0.07070243207080901,0.028242817395474386,TRUE,1
0.23291061836653398,21,1,0.048854248811477305,0.010673155646257667,0.020919385066665026,0.06977363387814234,0.02793486374481228,TRUE,1
0.24299894194393065,21,1,0.04824012708372907,0.010525141681866773,0.020629277696458875,0.06886940478018795,0.0276108493872702,TRUE,1
0.2530872655213274,21,1,0.04763087901829554,0.010386442608121682,0.020357427511918498,0.06798830653021404,0.02727345150637704,TRUE,1
0.263175589098724,21,1,0.04702712408357521,0.010255928737949952,0.020101620326381905,0.06712874440995711,0.026925503757193308,TRUE,1
0.2732639126761207,21,1,0.04642947024539381,0.010132551569271552,0.019859801075772242,0.06628927132116605,0.026569669169621567,TRUE,1
0.2833522362535174,21,1,0.045838283638153,0.010015972754865484,0.01963130659953635,0.06546959023768935,0.026206977038616654,TRUE,1
0.29344055983091405,21,1,0.045253700555490474,0.009906537694070502,0.019416813880378185,0.06467051443586866,0.02583688667511229,TRUE,1
0.30352888340831075,21,1,0.04467584818854737,0.009804664987646337,0.01921714337578682,0.06389299156433419,0.02545870481276055,TRUE,1
0.3136172069857074,21,1,0.044104853728464885,0.009710682503958512,0.019032937707758685,0.06313779143622357,0.0250719160207062,TRUE,1
0.3237055305631041,21,1,0.04354084436638416,0.009624716374231797,0.01886444409349432,0.062405288459878486,0.02467640027288984,TRUE,1
0.3337938541405008,21,1,0.04298394729344643,0.009546618588410811,0.01871137243328519,0.06169531972673162,0.02427257486016124,TRUE,1
0.3438821777178974,21,1,0.04243428970079278,0.009475937202499968,0.018572836916899937,0.06100712661769271,0.02386145278389284,TRUE,1
0.3539705012952941,21,1,0.04189199877956445,0.009411932235376091,0.01844738718133714,0.06033938596090159,0.02344461159822731,TRUE,1
0.36405882487269076,21,1,0.041357201720902584,0.009353639196594972,0.018333132825326143,0.05969033454622873,0.02302406889557644,TRUE,1
0.37414714845008745,21,1,0.04083002571594834,0.00929998115451429,0.01822796306284801,0.05905798877879635,0.02260206265310033,TRUE,1
0.38423547202748415,21,1,0.04031061688632901,0.00924996988967985,0.018129940983772505,0.058440557870101516,0.022180675902556506,TRUE,1
0.3943237956048808,21,1,0.039799403372108896,0.009203446070342326,0.018038754297870958,0.05783815766997985,0.02176064907423794,TRUE,1
0.4044121191822775,21,1,0.039297029780407784,0.009160948804440083,0.01795545965670256,0.057252489437110345,0.021341570123705224,TRUE,1
0.4145004427596742,21,1,0.0388041462502874,0.009123102280550233,0.01788128046987846,0.056685426720165855,0.02092286578040894,TRUE,1
